facility,survey_item,response,auditor_assigned_category,re_assigned_response,translated,original_language
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"I wish the AARC were more centrally located. Also, I wish it had a performance space suitable for dance, theater, etc. I have attended Austin Dance India events there, but they were performed on carpet or a raised stage that seemed less than ideal for classical Indian dance.",Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"NEEDS MORE PARKING, THERE ARE A TON OF EMPTY LOTS ACROSS THE STREET, CAN THE CITY BUY ONE FOR THEIR PARKING?  SEEMS LIKE POOR PLANNING ON THE CITY'S PART TO HAVE SUCH LIMITED PARKING FOR SUCH AN INCRECIBLE PLACE THAT DRAWS LARGE CROWDS TO THEIR FESTIVALS",Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,Parking and overflow parking was well sign posted.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"(1) There is need for space that would accommodate large gatherings, such as Gala events which sometimes have several hundred people attending

(2) They need more space, more permanent staff to help with the various activities they are involved in",Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,AARC facilities are often booked up--demand seems to outstrip supply.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"(1) 1.  Availability of classrooms is too limited.  2,  Dividers in the ballroom would provide more flexibility for space.  3.  The atmosphere in the reception area is too chaotic.  Lighting changes, decorating, soft music might help.  4.  More attention to maintaining the Great Lawn to limit ants, weeds, and uneven ground.  5.  Garden has been a great addition  6.  Have not used the exercise equipment, but glad it's there.  7.  Overall signage within the facility could be improved.

(2) 1. Need dividers in Ballroom to provide more flexibility.  2.  Meeting space is too limited.  3.  Programs are very educational.  4.  More needs to be done to promote more diverse cultures.  5.  More parking or better access to overflow parking.  6.  Increase staffing to offer evening and weekend hours",Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"We need Phase 2 construction to go ahead soon. And there, we need a performance hall with capacity of at least 1200 and a flat floor so that it can be used for more uses than just performances.",Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,The lunch room needs expansion.,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,Hoping the future changes/additions will include a room for Tai Chi/dance with a mirrored wall.,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,I went there for a program that had rented the space. We had to use overflow parking in another lot.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,Varying hours that the center is open restricts the usage of the space.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"A small footbridge between the AARC and supplementary parking lot would be very helpful.  People tend to walk directly through the nature part separating the two properties so as not to have to back around the longer way to reach the sidewalk.  The first time I crossed, I cut my leg on a piece of hidden barbed wire.  Many people access the AARC driving east from 183.  A sign on the supplementary lot would be helpful so that people don't have to make two U-turns after passing the AARC.  This is a convenience and safety issue.  I don't know if the double U-turns cause any car accidents, but a sign could help prevent accidents..",Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,could use more space for larger events as the community has grown considerably.,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,Feel like all rec centers should not charge for anything & get funding elsewhere! Seems part of the real mission ...,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"(1) We, seniors at SAIVA, have already given our input regarding the developing work being planned,

(2) We need multiple halls so that simultaneous activities are possible

(3) Though lunch is arranged, the vegetarian food needs improvement and the timing does not match the senior volunteer activities. Yoga class needs better planning. For volunteer work we need to allot bigger rooms. Table tennis play results in lot of noise disturbing sessions in other areas. A solution is necessary for this",Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,I look forward to hearing more good news regarding this facility.,Positive,False,True,Vietnamese
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"Could use some better landscaping, butterfly gardens, etc.",Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,Entering and exiting the parking lot is terrible need to be able to turn north or south when exit. And enter from north without u turn!!!!!!!!!  Unbelievable,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,Please ask Capital Metro to move their bus stop closer to the AARC. It is a very long walk from both directions.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,I am waiting for more mixed use space like studios and theater space.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"(1) I am so very glad to have that resource in the   District. Visit Austin and the Center need to insure that visitors who might not venture outside of downtown, know that the center exists and the transit routes that can get them from their hotel to the center.

(2) Parking is inadequate. The need to construct a bridge across the gully from the city's parking lot to the grounds of the Center has been in the works for years.",Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"It would be nice for the AARC's later evening hours to be restored on Mondays and Tuesdays, so the facility can be open to the public four nights a week and so that groups such as ACC can offer more ESL classes.",Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"(1) U know the parking us inadequate!

(2) Please bring in some dirt and smooth out the grounds. We use it 4 taichi and it's really rough!",Negative,True,False,English
